episode,reward,epsilon,buffer_size,steps,score,avg_loss
1,-51.31883125091802,0.9947058823529412,419,420,0,0.0
2,-50.49602557704566,0.9894117647058823,609,191,0,0.0
3,-50.92735105009756,0.9841176470588235,904,296,0,0.0
4,-50.95211671474242,0.9788235294117648,1230,327,0,0.0
5,-50.44974594280308,0.9735294117647059,1403,174,0,0.0
6,-50.57218617407723,0.9682352941176471,1580,178,0,0.0
7,-50.47816972200234,0.9629411764705882,1759,180,0,0.0
8,-50.37824114698613,0.9576470588235294,1924,166,0,0.0
9,-51.29772831267175,0.9523529411764706,2293,370,0,0.0
10,-50.500336721016325,0.9470588235294117,2478,186,0,0.0
11,-50.929912137434194,0.941764705882353,2761,284,0,0.0
12,-50.87556427742717,0.9364705882352942,2996,236,0,0.0
13,-50.93888693927328,0.9311764705882353,3235,240,0,0.24393303867210475
14,-50.428689004198944,0.9258823529411765,3410,176,0,0.25591739220676984
15,-50.66536849781108,0.9205882352941177,3659,250,0,0.30149424961963367
16,-50.46279593720879,0.9152941176470588,3874,216,0,0.3649073771817644
17,-50.304538651506526,0.91,4039,166,0,0.40539749272780995
18,-50.494989959831074,0.9047058823529411,4224,186,0,0.2550372223003193
19,-50.696454459676275,0.8994117647058824,4523,300,0,0.32515269911822836
20,-51.130254655083476,0.8941176470588236,4879,357,0,0.35041159757392043
21,-50.45158980646556,0.8888235294117647,5088,210,0,0.2539578801491034
22,-50.48322912303073,0.8835294117647059,5265,178,0,0.3253227975986771
23,-50.44199141533786,0.878235294117647,5436,172,0,0.27022003320717186
24,-50.57728071048966,0.8729411764705882,5667,232,0,0.3190012561665897
25,-50.34148356183583,0.8676470588235294,5834,168,0,0.2543041634822397
26,-50.5223224401319,0.8623529411764705,6005,172,0,0.32528098370490033
27,-50.435759528240595,0.8570588235294118,6188,184,0,0.2977148438398929
28,-50.52041965572968,0.851764705882353,6410,223,0,0.32809486462819304
29,-50.511104771893905,0.8464705882352941,6597,188,0,0.32024519933645235
30,-50.4940329555117,0.8411764705882353,6772,176,0,0.40652951099698176
31,-51.35426397935774,0.8358823529411765,7217,446,0,0.35241228186049256
